"skill_name","seniority_context","title","url","estimated_hours","resource_type","abstracts","source","created_at","updated_at"
"Help Desk Ticket Triage and Troubleshooting","junior","Google IT Support Professional Certificate","https://www.coursera.org/professional-certificates/google-it-support","180","course","Entry IT support curriculum covering troubleshooting, customer support, networking, operating systems, system administration, security, help desk workflows, escalation, and service desk fundamentals.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Help Desk Ticket Triage and Troubleshooting","junior","Build a Help Desk Knowledge Base and Ticket Workflow","https://github.com/practical-tutorials/project-based-learning","35","project","Portfolio project: create ticket categories, severity levels, SLA rules, troubleshooting runbooks, canned responses, escalation paths, and a small knowledge base for repeatable desktop support.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Help Desk Ticket Triage and Troubleshooting","junior","CompTIA A+ Certification","https://www.comptia.org/en/certifications/a/","120","cert","Vendor-neutral entry credential for endpoint support, hardware, operating systems, networking basics, mobile devices, troubleshooting, security basics, and operational procedures.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Help Desk Ticket Triage and Troubleshooting","junior","Microsoft Learn: Windows Client Documentation","https://learn.microsoft.com/en-us/windows/client-management/","18","doc","Official documentation for managing Windows client devices, endpoint configuration, troubleshooting, updates, policies, deployment, and support operations.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Windows Endpoint Support","junior","Microsoft Learn: Manage Windows Clients","https://learn.microsoft.com/en-us/training/browse/?terms=windows%20client%20management","45","course","Role-focused modules for Windows client administration, device settings, updates, security baselines, user support, endpoint management, and troubleshooting.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Windows Endpoint Support","junior","Windows Workstation Hardening and Support Lab","https://learn.microsoft.com/en-us/windows/security/operating-system-security/","30","project","Hands-on lab: configure users, BitLocker, Windows Defender, firewall, updates, local policies, backups, remote help, and document break-fix scenarios.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Windows Endpoint Support","junior","Microsoft 365 Certified: Endpoint Administrator Associate","https://learn.microsoft.com/en-us/credentials/certifications/m365-endpoint-administrator/","90","cert","Credential for deploying, configuring, securing, managing, and monitoring devices and client applications in Microsoft 365 environments.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Windows Endpoint Support","junior","Microsoft Intune Documentation","https://learn.microsoft.com/en-us/mem/intune/","24","doc","Official Intune reference for device enrollment, compliance policies, app protection, configuration profiles, endpoint security, and remote actions.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Linux Command Line Administration","junior","Introduction to Linux by The Linux Foundation","https://training.linuxfoundation.org/training/introduction-to-linux/","60","course","Beginner Linux course covering shells, file systems, command-line tools, permissions, process management, networking utilities, package management, and open-source basics.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Linux Command Line Administration","junior","Linux Server Baseline Automation Lab","https://github.com/practical-tutorials/project-based-learning#cc","35","project","Portfolio project: provision a Linux VM, create users, configure SSH, firewall, cron jobs, logs, packages, backups, and write repeatable admin notes.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Linux Command Line Administration","junior","Linux Foundation Certified IT Associate LFCA","https://training.linuxfoundation.org/certification/certified-it-associate/","80","cert","Foundational Linux Foundation certification covering Linux, system administration basics, cloud, security, DevOps concepts, and command-line competence.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Linux Command Line Administration","junior","Ubuntu Server Documentation","https://documentation.ubuntu.com/server/","20","doc","Official Ubuntu Server docs for installation, package management, users, storage, networking, security, services, containers, and server operations.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Networking Fundamentals and Subnetting","junior","Cisco Networking Academy: Introduction to Networks","https://www.netacad.com/courses/ccna-introduction-networks","70","course","Cisco course introducing Ethernet, IP addressing, subnetting, switching, routing, wireless, basic security, and practical packet-level network troubleshooting.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Networking Fundamentals and Subnetting","junior","Packet Tracer Small Office Network Design","https://www.netacad.com/courses/packet-tracer","40","project","Hands-on project: build a small office topology with addressing plan, VLANs, DHCP, DNS, wireless, routing, ACLs, and a network diagram.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Networking Fundamentals and Subnetting","junior","CompTIA Network+ Certification","https://www.comptia.org/en/certifications/network/","100","cert","Vendor-neutral certification validating networking concepts, connectivity, infrastructure, operations, troubleshooting, wireless, cloud networking, and network security.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Networking Fundamentals and Subnetting","junior","Wireshark User Guide","https://www.wireshark.org/docs/wsug_html_chunked/","18","doc","Packet analysis documentation for inspecting protocols, TCP/IP behavior, DNS, HTTP, TLS, network latency, retransmissions, and troubleshooting captures.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Basic Cybersecurity Hygiene","junior","Google Cybersecurity Professional Certificate","https://www.coursera.org/professional-certificates/google-cybersecurity","180","course","Beginner analyst curriculum covering security fundamentals, Linux, SQL, Python, SIEM, incident response, network security, risk, and common controls.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Basic Cybersecurity Hygiene","junior","Personal and Small Business Security Baseline Project","https://www.cisa.gov/secure-our-world","20","project","Project: document MFA rollout, password manager adoption, device updates, backup verification, phishing awareness, least privilege, and basic home or SMB risk register.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Basic Cybersecurity Hygiene","junior","ISC2 Certified in Cybersecurity","https://www.isc2.org/certifications/cc","80","cert","Entry cybersecurity certification covering security principles, business continuity, access controls, network security, security operations, and incident response basics.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Basic Cybersecurity Hygiene","junior","CISA Cybersecurity Best Practices","https://www.cisa.gov/cybersecurity-best-practices","12","doc","Government guidance for basic cyber hygiene, vulnerability reduction, ransomware prevention, MFA, backups, patching, and organizational risk reduction.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"SQL Querying Fundamentals","junior","Kaggle Learn: Intro to SQL","https://www.kaggle.com/learn/intro-to-sql","8","course","Short practical course for SELECT, filtering, aggregation, joins, nested queries, BigQuery usage, and basic analytical SQL patterns.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"SQL Querying Fundamentals","junior","Build a Relational Reporting Database","https://www.freecodecamp.org/learn/relational-database/","40","project","Project: design tables, load CSV data, write joins, aggregations, constraints, views, and reporting queries for a business dataset.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"SQL Querying Fundamentals","junior","freeCodeCamp Relational Database Certification","https://www.freecodecamp.org/learn/relational-database/","120","cert","Project-based credential for PostgreSQL, Bash, Git, relational modeling, SQL querying, and database-backed command-line projects.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"SQL Querying Fundamentals","junior","PostgreSQL Documentation","https://www.postgresql.org/docs/current/","30","doc","Official reference for SQL syntax, data types, joins, indexes, constraints, transactions, functions, performance, and administration.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Python Programming Fundamentals","junior","CS50P: Introduction to Programming with Python","https://cs50.harvard.edu/python/","80","course","Beginner programming course covering Python syntax, functions, conditionals, loops, exceptions, libraries, file I/O, tests, and practical problem solving.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Python Programming Fundamentals","junior","Python CLI Automation Portfolio","https://github.com/practical-tutorials/project-based-learning#python","40","project","Project set: build command-line utilities for file renaming, CSV cleaning, log parsing, API requests, scheduling, and automated reports.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Python Programming Fundamentals","junior","PCEP Certified Entry-Level Python Programmer","https://pythoninstitute.org/pcep","70","cert","Entry Python certification targeting syntax, data types, control flow, functions, exceptions, modules, and basic problem-solving competence.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"Python Programming Fundamentals","junior","Python 3 Documentation","https://docs.python.org/3/","35","doc","Official Python language, standard library, tutorial, packaging, virtual environment, file handling, testing, and API reference.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"HTML CSS Responsive Web Layout","junior","freeCodeCamp Responsive Web Design","https://www.freecodecamp.org/learn/responsive-web-design-v9/","80","course","Hands-on curriculum for HTML, CSS, accessibility, Flexbox, Grid, responsive design, forms, typography, and layout projects.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"HTML CSS Responsive Web Layout","junior","Responsive Portfolio Website Project","https://developer.mozilla.org/en-US/docs/Learn","35","project","Project: build and deploy a responsive portfolio with semantic HTML, accessible forms, CSS Grid/Flexbox, mobile navigation, and performance checks.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"HTML CSS Responsive Web Layout","junior","freeCodeCamp Responsive Web Design Certification","https://www.freecodecamp.org/learn/responsive-web-design-v9/","80","cert","Project-based web design credential requiring multiple accessible, responsive websites and HTML/CSS practice projects.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"HTML CSS Responsive Web Layout","junior","MDN: Learn Web Development","https://developer.mozilla.org/en-US/docs/Learn","25","doc","Mozilla reference and tutorials for web standards, HTML, CSS, accessibility, JavaScript basics, forms, deployment, and browser behavior.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"JavaScript DOM and Browser APIs","junior","freeCodeCamp JavaScript Algorithms and Data Structures","https://www.freecodecamp.org/learn/javascript-algorithms-and-data-structures-v8/","120","course","JavaScript course covering variables, functions, arrays, objects, modules, recursion, regex, algorithms, and browser-adjacent programming fundamentals.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
"JavaScript DOM and Browser APIs","junior","Interactive Browser App Project","https://developer.mozilla.org/en-US/docs/Web/API","40","project","Project: build a task manager, quiz, or budget app using DOM manipulation, events, localStorage, forms, fetch, validation, and accessibility improvements.","manual_research_expanded_2026_05_03","2026-05-03T00:00:00+07:00","2026-05-03T00:00:00+07:00"
